#X	CH1	CH2
#Sequence	Volt	Volt
655	2.02e+00	0.00e+00
656	2.06e+00	0.00e+00
657	2.02e+00	0.00e+00
658	2.06e+00	0.00e+00
659	2.06e+00	0.00e+00
660	2.02e+00	0.00e+00
661	2.02e+00	0.00e+00
662	2.02e+00	0.00e+00
663	2.06e+00	0.00e+00
664	2.02e+00	0.00e+00
665	2.06e+00	0.00e+00
666	2.06e+00	0.00e+00
667	2.02e+00	0.00e+00
668	2.02e+00	0.00e+00
669	2.02e+00	0.00e+00
670	2.02e+00	0.00e+00
671	2.02e+00	0.00e+00
672	2.06e+00	0.00e+00
673	2.02e+00	0.00e+00
674	2.06e+00	0.00e+00
675	2.06e+00	0.00e+00
676	2.02e+00	0.00e+00
677	2.02e+00	0.00e+00
678	2.06e+00	0.00e+00
679	2.02e+00	0.00e+00
680	2.02e+00	0.00e+00
681	2.02e+00	0.00e+00
682	2.06e+00	0.00e+00
683	2.06e+00	0.00e+00
684	2.06e+00	0.00e+00
685	2.06e+00	0.00e+00
686	2.02e+00	0.00e+00
687	2.02e+00	0.00e+00
688	2.02e+00	0.00e+00
689	2.02e+00	0.00e+00
690	2.02e+00	0.00e+00
691	2.02e+00	0.00e+00
692	2.06e+00	0.00e+00
693	2.06e+00	0.00e+00
694	2.02e+00	0.00e+00
695	2.06e+00	0.00e+00
696	2.06e+00	0.00e+00
697	2.06e+00	0.00e+00
698	2.02e+00	0.00e+00
699	2.02e+00	0.00e+00
700	2.06e+00	0.00e+00
701	2.02e+00	0.00e+00
702	2.02e+00	0.00e+00
703	2.02e+00	0.00e+00
704	2.06e+00	0.00e+00
705	2.06e+00	0.00e+00
706	2.06e+00	0.00e+00
707	2.02e+00	0.00e+00
708	2.06e+00	0.00e+00
709	2.02e+00	0.00e+00
710	2.02e+00	0.00e+00
711	2.02e+00	0.00e+00
712	2.06e+00	0.00e+00
713	2.06e+00	0.00e+00
714	2.02e+00	0.00e+00
715	2.02e+00	0.00e+00
716	2.06e+00	0.00e+00
717	2.06e+00	0.00e+00
718	2.06e+00	0.00e+00
719	2.06e+00	0.00e+00
720	2.06e+00	0.00e+00
721	2.02e+00	0.00e+00
722	2.06e+00	0.00e+00
