2	0.500000000	D ∞ h {displaystyle D_{infty h}} D_{{infty h}}	0	–	–	–	–	–	–	2	–	–	180.000°
113	5721.824978027	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	101	0	0	333	222	0	18.978°
114	5826.521572163	C 2 {displaystyle C_{2}} C_{{2}}	0.000149772	0	0	12	102	0	0	336	224	0	18.836°
115	5932.181285777	C 3 {displaystyle C_{3}} C_{{3}}	0.000049972	0	0	12	103	0	0	339	226	0	18.458°
116	6038.815593579	C 2 {displaystyle C_{2}} C_{{2}}	0.000259726	0	0	12	104	0	0	342	228	0	18.386°
117	6146.342446579	C 2 {displaystyle C_{2}} C_{{2}}	0.000127609	0	0	12	105	0	0	345	230	0	18.566°
118	6254.877027790	C 2 {displaystyle C_{2}} C_{{2}}	0.000332475	0	0	12	106	0	0	348	232	0	18.455°
119	6364.347317479	C 2 {displaystyle C_{2}} C_{{2}}	0.000685590	0	0	12	107	0	0	351	234	0	18.336°
120	6474.756324980	C s {displaystyle C_{s}} C_{{s}}	0.001373062	0	0	12	108	0	0	354	236	0	18.418°
121	6586.121949584	C 3 {displaystyle C_{3}} C_{{3}}	0.000838863	0	0	12	109	0	0	357	238	0	18.199°
122	6698.374499261	I h {displaystyle I_{h}} I_{{h}}	0	0	0	12	110	0	0	360	240	0	18.612°
123	6811.827228174	C 2 v {displaystyle C_{2v}} C_{{2v}}	0.001939754	0	0	14	107	2	0	363	242	0	17.840°
124	6926.169974193	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	112	0	0	366	244	0	18.111°
125	7041.473264023	C 2 {displaystyle C_{2}} C_{{2}}	0.000088274	0	0	12	113	0	0	369	246	0	17.867°
126	7157.669224867	D 4 {displaystyle D_{4}} D_{{4}}	0	0	2	16	100	8	0	372	248	0	17.920°
127	7274.819504675	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	115	0	0	375	250	0	17.877°
128	7393.007443068	C 2 {displaystyle C_{2}} C_{{2}}	0.000054132	0	0	12	116	0	0	378	252	0	17.814°
129	7512.107319268	C 2 {displaystyle C_{2}} C_{{2}}	0.000030099	0	0	12	117	0	0	381	254	0	17.743°
130	7632.167378912	C 2 {displaystyle C_{2}} C_{{2}}	0.000025622	0	0	12	118	0	0	384	256	0	17.683°
131	7753.205166941	C 2 {displaystyle C_{2}} C_{{2}}	0.000305133	0	0	12	119	0	0	387	258	0	17.511°
132	7875.045342797	I {displaystyle I} I	0	0	0	12	120	0	0	390	260	0	17.958°
133	7998.179212898	C 3 {displaystyle C_{3}} C_{{3}}	0.000591438	0	0	12	121	0	0	393	262	0	17.133°
134	8122.089721194	C 2 {displaystyle C_{2}} C_{{2}}	0.000470268	0	0	12	122	0	0	396	264	0	17.214°
135	8246.909486992	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	123	0	0	399	266	0	17.431°
136	8372.743302539	T {displaystyle T} T	0	0	0	12	124	0	0	402	268	0	17.485°
137	8499.534494782	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	125	0	0	405	270	0	17.560°
138	8627.406389880	C 2 {displaystyle C_{2}} C_{{2}}	0.000473576	0	0	12	126	0	0	408	272	0	16.924°
139	8756.227056057	C 2 {displaystyle C_{2}} C_{{2}}	0.000404228	0	0	12	127	0	0	411	274	0	16.673°
140	8885.980609041	C 1 {displaystyle C_{1}} C_{{1}}	0.000630351	0	0	13	126	1	0	414	276	0	16.773°
141	9016.615349190	C 2 v {displaystyle C_{2v}} C_{{2v}}	0.000376365	0	0	14	126	0	1	417	278	0	16.962°
142	9148.271579993	C 2 {displaystyle C_{2}} C_{{2}}	0.000550138	0	0	12	130	0	0	420	280	0	16.840°
143	9280.839851192	C 2 {displaystyle C_{2}} C_{{2}}	0.000255449	0	0	12	131	0	0	423	282	0	16.782°
144	9414.371794460	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	132	0	0	426	284	0	16.953°
145	9548.928837232	C s {displaystyle C_{s}} C_{{s}}	0.000094938	0	0	12	133	0	0	429	286	0	16.841°
146	9684.381825575	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	134	0	0	432	288	0	16.905°
147	9820.932378373	C 2 {displaystyle C_{2}} C_{{2}}	0.000636651	0	0	12	135	0	0	435	290	0	16.458°
148	9958.406004270	C 2 {displaystyle C_{2}} C_{{2}}	0.000203701	0	0	12	136	0	0	438	292	0	16.627°
149	10096.859907397	C 1 {displaystyle C_{1}} C_{{1}}	0.000638186	0	0	14	133	2	0	441	294	0	16.344°
150	10236.196436701	T {displaystyle T} T	0	0	0	12	138	0	0	444	296	0	16.405°
151	10376.571469275	C 2 {displaystyle C_{2}} C_{{2}}	0.000153836	0	0	12	139	0	0	447	298	0	16.163°
152	10517.867592878	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	140	0	0	450	300	0	16.117°
153	10660.082748237	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	141	0	0	453	302	0	16.390°
154	10803.372421141	C 2 {displaystyle C_{2}} C_{{2}}	0.000735800	0	0	12	142	0	0	456	304	0	16.078°
155	10947.574692279	C 2 {displaystyle C_{2}} C_{{2}}	0.000603670	0	0	12	143	0	0	459	306	0	15.990°
156	11092.798311456	C 2 {displaystyle C_{2}} C_{{2}}	0.000508534	0	0	12	144	0	0	462	308	0	15.822°
157	11238.903041156	C 2 {displaystyle C_{2}} C_{{2}}	0.000357679	0	0	12	145	0	0	465	310	0	15.948°
158	11385.990186197	C 2 {displaystyle C_{2}} C_{{2}}	0.000921918	0	0	12	146	0	0	468	312	0	15.987°
159	11534.023960956	C 2 {displaystyle C_{2}} C_{{2}}	0.000381457	0	0	12	147	0	0	471	314	0	15.960°
160	11683.054805549	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	148	0	0	474	316	0	15.961°
161	11833.084739465	C 2 {displaystyle C_{2}} C_{{2}}	0.000056447	0	0	12	149	0	0	477	318	0	15.810°
162	11984.050335814	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	150	0	0	480	320	0	15.813°
